id,description,url,district,street,house_nr,zip,town
1,Abenteuerlicher Bauspielplatz Kolle 37,,Pankow,Kollwitzstraße,35,10405,Berlin
2,Abenteuerspielplatz Köpenick,,Treptow-Köpenick,Alte Kaulsdorfer Straße,18,12555,Berlin
3,Abenteuerspielplatz Marie,,Pankow,Marienburger Straße,42,10405,Berlin
4,Abenteuerspielplatz Waslala,https://www.berlin.de/kultur-und-tickets/tipps/kinder/kinderbauernhoefe/3077897-3076561-abenteuerspielplatz-und-kinderbauernhof-.html,Treptow-Köpenick,Venusstraße,88,12524,Berlin
5,Abenteuerspielplatz Wildhüterweg,https://www.berlin.de/special/sport-und-fitness/adressen/spielplatz/abenteuerspielplatz-wildhueterweg-d36217f31c1993e90ed6a227c41bcda6.html,Neukölln,Wildhüterweg,2,12353,Berlin
6,Aktivspielplatz Franz B.,,Pankow,Blankenfelder Straße,106,13127,Berlin
7,Alia Mädchenzentrum,,Friedrichshain-Kreuzberg,Wrangelstraße,84,10997,Berlin
8,Amerika Gedenkbibliothek,https://www.berlin.de/sehenswuerdigkeiten/3561110-3558930-amerika-gedenk-bibliothek.html,Friedrichshain-Kreuzberg,Blücherplatz,1,10961,Berlin
9,Amt für Soziales,https://service.berlin.de/standort/324549/,Marzahn-Hellersdorf,Riesaer Straße,94,12627,Berlin
10,ASP Inge Abenteuerspielplatz Karow,,Pankow,Ingwäonenweg,62,13125,Berlin
11,Ausstellungszentrum Pyramide,https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/aemter/amt-fuer-weiterbildung-und-kultur/kultur/artikel.260286.php,Marzahn-Hellersdorf,Riesaer Straße,94,12627,Berlin
12,AWO Begegnungszentrum,,Friedrichshain-Kreuzberg,Adalbertstraße,23,10997,Berlin
13,Bayouma-Haus,,Friedrichshain-Kreuzberg,Frankfurter Allee,110,10247,Berlin
14,Begegnungsstätte Charlottenstraße 85,,Friedrichshain-Kreuzberg,Charlottenstraße,85,10969,Berlin
15,Begegnungsstätte Falckensteinstraße,,Friedrichshain-Kreuzberg,Falckensteinstraße,6,10997,Berlin
16,Begegnungsstätte Gitschiner Str. 38,,Friedrichshain-Kreuzberg,Gitschiner Straße,38,10969,Berlin
17,Begegnungsstätte Judith Auer,https://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/familie/artikel.280283.php,Lichtenberg,Judith-Auer-Straße,8,10369,Berlin
18,Berlin Pavillon,,Mitte,Scheidemannstraße,1,10557,Berlin
19,Berliner Ensemble,https://www.berlin.de/tickets/theater/tipps/buehnen/2224912-2903274-berliner-ensemble.html,Mitte,Bertolt-Brecht-Platz,1,10117,Berlin
20,Berliner Landeszentrale für politische Bildung,https://www.berlin.de/politische-bildung/,Charlottenburg-Wilmersdorf,Hardenbergstraße,22,10623,Berlin
21,Berlinische Galerie - Museum für Moderne Kunst,https://www.berlin.de/museum/3109283-2926344-berlinische-galerie.html,Friedrichshain-Kreuzberg,Alte Jakobstraße,128,10969,Berlin
22,Bezirksamt (Premnitzer Straße),https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/aemter/amt-fuer-buergerdienste/wohnungsamt/,Marzahn-Hellersdorf,Premnitzer Straße,13,12681,Berlin
23,Bezirksamt Lichtenberg Bürgeramt 1,https://service.berlin.de/standort/122252/,Lichtenberg,Egon-Erwin-Kisch-Straße,106,13059,Berlin
24,Bezirksmuseum Alt-Marzahn 51,https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/aemter/amt-fuer-weiterbildung-und-kultur/kultur/artikel.260283.php,Marzahn-Hellersdorf,Alt-Marzahn,51,12685,Berlin
25,Bezirkszentralbibliothek Mark Twain,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/bezirkszentralbibliothek-mark-twain-08082d6dad077fe83e6bbe27cb9783fd.html,Marzahn-Hellersdorf,Marzahner Promenade,55,12679,Berlin
26,Bibl. Lankwitz,https://www.berlin.de/stadtbibliothek-steglitz-zehlendorf/bibliotheken/stadtteilbibliothek-lankwitz/,Steglitz-Zehlendorf,Bruchwitzstraße,37,12247,Berlin
27,Bibliothek am Luisenbad,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bibliothek-am-luisenbad/,Mitte,Travemünder Straße,2,13357,Berlin
28,Bibliothek Kaulsdorf,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/stadtteilbibliothek-kaulsdorf-nord-4f144789b4fc475f0baf5001.html,Marzahn-Hellersdorf,Cecilienplatz,12,12619,Berlin
29,Bibliothek Mahlsdorf,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/stadtteilbibliothek-mahlsdorf-08082d6dad077fe83e6bbe27cb97e399.html,Marzahn-Hellersdorf,Alt-Mahlsdorf,24,12623,Berlin
30,Bibliothek Tiergarten Süd,https://www.berlin.de/kultur-und-tickets/adressen/bibliothek/bibliothek-tiergartensued-08082d6dad077fe83e6bbe27cb991739.html,Mitte,Lützowstraße,27,10785,Berlin
31,Wohnhaus,,Reinickendorf,Wilhelmsruher Damm,228,13435,Berlin
32,Brandenburger Tor,https://www.berlin.de/sehenswuerdigkeiten/3560266-3558930-brandenburger-tor.html,Mitte,Pariser Platz,8,10117,Berlin
33,Brunnenplatz,,Reinickendorf,Senftenberger Ring,3,13439,Berlin
34,Bruno Lösche Bibliothek,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bruno-loesche-bibliothek/,Mitte,Perleberger Straße,33,10559,Berlin
35,Bröhan-Museum,https://www.berlin.de/museum/3109311-2926344-broehanmuseum.html,Charlottenburg-Wilmersdorf,Schloßstraße,1,14059,Berlin
36,Bundeskanzler-Willy-Brandt-Stiftung ,https://www.berlin.de/museum/3109938-2926344-bundeskanzlerwillybrandtstiftung-forum-w.html,Mitte,Unter den Linden,62,10117,Berlin
37,Bürgeramt Zehlendorf,https://service.berlin.de/standort/122267/,Steglitz-Zehlendorf,Kirchstraße,01. Mär,14163,Berlin
38,Bürgeramt Zwickauer Damm,https://service.berlin.de/standort/122296/,Neukölln,Zwickauer Damm,52,12353,Berlin
39,Bürodienstgebäude (Klosterstraße 36),,Spandau,Klosterstraße,36,13581,Berlin
40,C&A,,Charlottenburg-Wilmersdorf,Wilmersdorfer Straße,124,10627,Berlin
